國民中學校別資料																							
102 學年度 SY2013-2014																							
縣市代碼	縣市名稱	學校代碼	學校名稱	班級數	7年級	8年級	9年級	學生數	男學生	女學生	7年級男	7年級女	8年級男	8年級女	9年級男	9年級女	上學年畢業生	上學年男畢業生	上學年女畢業生	男專任教師	女專任教師	男職員	女職員
01	新北市	014501	市立板橋國中	47	16	16	15	"1,339"	727	612	247	208	247	209	233	195	438	218	220	37	74	1	9
01	新北市	014503	市立重慶國中	79	28	26	25	"2,343"	"1,164"	"1,179"	417	381	382	426	365	372	889	473	416	42	135	1	11
01	新北市	014504	市立江翠國中	77	25	27	25	"2,199"	"1,129"	"1,070"	357	367	406	361	366	342	803	389	414	47	131	2	11
01	新北市	014505	市立中山國中	89	30	30	29	"3,143"	"1,631"	"1,512"	507	504	582	500	542	508	"1,074"	541	533	47	141	2	11
01	新北市	014506	市立新埔國中	54	18	19	17	"1,542"	737	805	227	269	261	282	249	254	497	241	256	24	96	4	9
01	新北市	014507	市立新莊國中	100	34	32	34	"2,888"	"1,459"	"1,429"	484	458	510	481	465	490	"1,071"	545	526	60	158	-	13
01	新北市	014508	市立新泰國中	73	25	26	22	"2,188"	"1,221"	967	406	321	428	356	387	290	705	383	322	47	116	2	9
01	新北市	014509	市立福營國中	74	28	26	20	"2,278"	"1,200"	"1,078"	444	394	433	352	323	332	676	339	337	62	111	4	9
01	新北市	014510	市立頭前國中	53	18	20	15	"1,566"	810	756	267	245	309	266	234	245	594	305	289	31	87	3	7
01	新北市	014512	市立光榮國中	42	14	15	13	"1,154"	618	536	201	184	214	181	203	171	336	160	176	25	72	1	9
01	新北市	014513	市立明志國中	83	28	28	27	"2,539"	"1,306"	"1,233"	415	380	454	440	437	413	902	467	435	59	130	3	9
01	新北市	014514	市立碧華國中	56	19	19	18	"1,730"	909	821	299	263	317	265	293	293	647	327	320	45	85	2	9
01	新北市	014516	市立永和國中	121	40	44	37	"3,818"	"2,014"	"1,804"	663	598	705	623	646	583	"1,348"	735	613	75	195	1	13
01	新北市	014517	市立福和國中	103	33	35	35	"3,071"	"1,462"	"1,609"	461	475	493	580	508	554	"1,223"	607	616	55	160	2	12
01	新北市	014518	市立中和國中	57	18	20	19	"1,664"	874	790	260	254	326	262	288	274	608	296	312	36	88	2	9
01	新北市	014519	市立積穗國中	44	14	15	15	"1,298"	681	617	211	220	224	200	246	197	410	211	199	26	79	3	6
01	新北市	014520	市立漳和國中	40	14	14	12	"1,068"	551	517	191	176	188	186	172	155	347	167	180	22	67	-	7
01	新北市	014521	市立鶯歌國中	71	24	24	23	"2,280"	"1,208"	"1,072"	405	345	372	374	431	353	762	398	364	44	113	-	11
01	新北市	014523	市立柑園國中	14	5	5	4	378	192	186	58	59	77	72	57	55	136	70	66	10	24	-	7
01	新北市	014524	市立土城國中	52	19	18	15	"1,579"	845	734	306	236	296	258	243	240	488	264	224	39	85	2	8
01	新北市	014525	市立三峽國中	61	19	24	18	"1,950"	989	961	346	320	344	357	299	284	671	353	318	43	94	2	9
01	新北市	014527	市立八里國中	21	8	6	7	531	250	281	85	96	89	89	76	96	192	96	96	15	36	-	6
01	新北市	014528	市立泰山國中	30	11	10	9	809	412	397	122	149	148	115	142	133	241	129	112	22	48	3	5
01	新北市	014529	市立五股國中	58	19	20	19	"1,704"	872	832	285	286	313	271	274	275	609	321	288	35	95	2	8
01	新北市	014530	市立蘆洲國中	115	37	39	39	"3,467"	"1,722"	"1,745"	500	547	600	582	622	616	"1,238"	597	641	60	178	-	15
01	新北市	014531	市立林口國中	43	16	14	13	"1,310"	708	602	255	200	210	216	243	186	607	328	279	27	73	2	7
01	新北市	014533	市立汐止國中	29	10	10	9	"1,039"	572	467	189	162	206	150	177	155	362	198	164	21	46	2	7
01	新北市	014534	市立淡水國中	46	16	15	15	"1,340"	692	648	265	202	208	230	219	216	441	203	238	34	79	1	9
01	新北市	014536	市立三芝國中	29	11	10	8	820	438	382	160	141	143	135	135	106	258	157	101	24	42	2	7
01	新北市	014537	市立石門國中	6	2	2	2	123	73	50	25	15	25	21	23	14	52	28	24	5	13	1	2
01	新北市	014539	市立萬里國中	9	4	3	2	179	101	78	36	20	38	36	27	22	71	39	32	9	13	1	4
01	新北市	014540	市立坪林國中	6	2	2	2	161	94	67	36	16	34	26	24	25	46	25	21	9	8	-	2
01	新北市	014541	市立文山國中	36	13	11	12	"1,015"	571	444	204	141	186	132	181	171	334	177	157	19	75	1	10
01	新北市	014542	市立五峰國中	75	23	26	26	"2,316"	"1,269"	"1,047"	372	300	426	386	471	361	"1,011"	544	467	43	122	3	10
01	新北市	014544	市立瑞芳國中	21	8	6	7	586	285	301	98	118	97	85	90	98	202	89	113	20	30	2	5
01	新北市	014545	市立欽賢國中	6	2	2	2	83	47	36	14	9	13	16	20	11	21	12	9	8	7	-	2
01	新北市	014546	市立貢寮國中	8	3	3	2	207	106	101	36	32	33	44	37	25	63	37	26	10	12	-	4
01	新北市	014549	市立深坑國中	25	9	8	8	659	348	311	120	104	115	107	113	100	236	115	121	22	33	2	5
01	新北市	014550	市立平溪國中	3	1	1	1	37	19	18	5	9	7	8	7	1	9	5	4	8	12	1	3
01	新北市	014551	市立烏來國中(小)	3	1	1	1	77	43	34	12	10	17	7	14	17	21	11	10	4	8	1	5
01	新北市	014552	市立溪崑國中	99	33	34	32	"2,987"	"1,553"	"1,434"	496	465	577	472	480	497	"1,017"	517	500	79	136	1	12
01	新北市	014554	市立自強國中	43	13	16	14	"1,193"	589	604	195	185	206	204	188	215	395	187	208	35	67	2	9
01	新北市	014555	市立中正國中	97	32	33	32	"2,901"	"1,545"	"1,356"	490	437	503	456	552	463	"1,108"	583	525	48	159	-	14
01	新北市	014558	市立義學國中	61	22	20	19	"1,795"	965	830	331	285	329	258	305	287	605	325	280	47	93	2	9
01	新北市	014559	市立中平國中	68	23	24	21	"2,146"	"1,071"	"1,075"	356	374	382	354	333	347	750	356	394	49	108	-	10
01	新北市	014560	市立鳳鳴國中	24	9	8	7	666	336	330	121	106	122	110	93	114	214	118	96	19	37	1	7
01	新北市	014561	市立三和國中	96	31	33	32	"3,416"	"1,727"	"1,689"	604	542	585	561	538	586	"1,082"	509	573	66	142	2	9
01	新北市	014565	市立尖山國中	18	6	6	6	488	255	233	77	81	95	81	83	71	161	89	72	13	28	1	5
01	新北市	014566	市立正德國中	57	19	19	19	"1,968"	"1,050"	918	341	298	350	307	359	313	692	357	335	34	92	2	10
01	新北市	014567	市立安溪國中	46	15	16	15	"1,354"	702	652	217	201	246	226	239	225	484	266	218	31	74	2	8
01	新北市	014568	市立樟樹國中	37	13	13	11	"1,088"	597	491	207	166	205	170	185	155	394	205	189	30	58	3	7
01	新北市	014569	市立育林國中	37	12	13	12	"1,273"	667	606	213	196	234	212	220	198	355	199	156	36	47	1	8
01	新北市	014570	市立青山國中(小)	24	8	8	8	688	355	333	117	102	121	110	117	121	278	142	136	17	34	1	8
01	新北市	014571	市立崇林國中	50	16	17	17	"1,461"	738	723	224	226	260	240	254	257	610	304	306	22	85	1	9
01	新北市	014572	市立二重國中	37	13	13	11	913	510	403	175	132	177	150	158	121	361	206	155	32	52	4	7
01	新北市	014573	市立大觀國中	38	12	13	13	"1,073"	529	544	174	172	181	198	174	174	378	193	185	20	64	1	7
01	新北市	014574	市立三多國中	39	13	13	13	"1,301"	678	623	230	214	231	203	217	206	453	240	213	32	54	3	5
01	新北市	014575	市立忠孝國中	33	13	11	9	897	488	409	170	149	170	138	148	122	262	148	114	23	52	1	8
01	新北市	014576	市立鷺江國中	58	21	20	17	"1,737"	891	846	304	294	314	289	273	263	563	266	297	30	100	4	5
01	新北市	014577	市立桃子腳國中(小)	21	7	7	7	732	380	352	114	121	128	116	138	115	247	120	127	12	35	-	9
01	新北市	014578	市立豐珠國中(小)	5	1	1	3	17	-	17	-	1	-	2	-	14	12	-	12	3	12	2	4
01	新北市	014579	市立佳林國中	33	12	13	8	"1,008"	507	501	174	162	198	182	135	157	-	-	-	21	51	1	3
01	新北市	014580	市立達觀國中(小)	30	11	11	8	"1,012"	509	503	183	176	195	186	131	141	-	-	-	17	50	-	4
02	宜蘭縣	021301	私立慧燈高中附設國中部	38	14	12	12	"1,659"	"1,070"	589	417	228	340	181	313	180	444	294	150	-	-	-	-
02	宜蘭縣	021310	私立中道高中附設國中部	12	4	4	4	390	258	132	97	57	85	38	76	37	119	77	42	-	-	-	-
02	宜蘭縣	024322	縣立南澳高中附設國中部	9	3	3	3	233	106	127	32	46	34	38	40	43	88	53	35	-	-	-	-
02	宜蘭縣	024501	縣立宜蘭國中	27	9	10	8	714	346	368	122	105	117	143	107	120	240	125	115	19	43	3	6
02	宜蘭縣	024502	縣立中華國中	38	13	13	12	"1,112"	587	525	210	160	186	178	191	187	389	201	188	28	53	-	9
02	宜蘭縣	024503	縣立復興國中	75	25	25	25	"2,060"	"1,049"	"1,011"	320	330	355	361	374	320	775	404	371	53	110	4	10
02	宜蘭縣	024504	縣立羅東國中	65	22	22	21	"1,835"	949	886	290	301	333	285	326	300	687	367	320	52	96	1	12
02	宜蘭縣	024505	縣立東光國中	38	13	13	12	"1,070"	556	514	188	166	186	196	182	152	407	209	198	32	54	4	7
02	宜蘭縣	024506	縣立國華國中	51	17	18	16	"1,531"	798	733	237	240	302	231	259	262	574	272	302	43	75	1	12
02	宜蘭縣	024507	縣立頭城國中	33	11	11	11	888	440	448	146	159	159	148	135	141	314	165	149	38	34	2	6
02	宜蘭縣	024508	縣立蘇澳國中	17	6	6	5	396	205	191	75	65	56	57	74	69	149	73	76	22	16	4	4
02	宜蘭縣	024509	縣立文化國中	23	7	8	8	603	317	286	99	85	102	104	116	97	236	123	113	25	30	2	6
02	宜蘭縣	024510	縣立南安國中	9	3	3	3	183	95	88	26	27	35	33	34	28	65	28	37	9	11	3	2
02	宜蘭縣	024511	縣立三星國中	18	7	6	5	482	269	213	88	82	91	70	90	61	156	80	76	18	24	2	6
02	宜蘭縣	024512	縣立礁溪國中	26	8	9	9	707	367	340	124	103	144	108	99	129	237	117	120	18	40	3	6
02	宜蘭縣	024513	縣立吳沙國中	10	3	3	4	251	127	124	42	35	39	38	46	51	91	50	41	13	13	2	5
02	宜蘭縣	024514	縣立冬山國中	18	6	6	6	512	289	223	99	70	99	72	91	81	170	92	78	12	29	2	6
02	宜蘭縣	024515	縣立順安國中	12	4	4	4	317	165	152	52	50	51	59	62	43	108	58	50	12	15	1	6
02	宜蘭縣	024516	縣立五結國中	17	6	6	5	448	219	229	79	73	75	83	65	73	140	74	66	15	26	3	5
02	宜蘭縣	024517	縣立興中國中	9	3	3	3	175	105	70	35	20	36	25	34	25	55	25	30	11	11	1	4
02	宜蘭縣	024518	縣立利澤國中	11	4	4	3	260	143	117	46	40	55	39	42	38	89	52	37	12	17	1	6
02	宜蘭縣	024519	縣立員山國中	19	7	6	6	453	214	239	74	77	69	89	71	73	137	71	66	17	27	2	6
02	宜蘭縣	024520	縣立內城國中(小)	6	2	2	2	79	35	44	11	8	8	17	16	19	34	12	22	8	6	1	7
02	宜蘭縣	024521	縣立壯圍國中	26	9	9	8	682	363	319	120	104	118	107	125	108	257	141	116	17	39	2	7
02	宜蘭縣	024523	縣立大同國中	3	1	1	1	76	45	31	14	10	16	10	15	11	22	13	9	8	4	1	2
02	宜蘭縣	024524	縣立凱旋國中	18	6	6	6	524	290	234	90	80	98	79	102	75	216	124	92	14	30	1	6
02	宜蘭縣	024525	縣立慈心華德福實驗國中(小)	6	2	2	2	166	89	77	30	26	31	26	28	25	50	24	26	5	9	5	7
02	宜蘭縣	024526	縣立人文國中(小)	6	2	2	2	102	57	45	20	15	20	18	17	12	49	25	24	4	-	1	3
03	桃園縣	031310	私立六和高中附設國中部	30	10	10	10	"1,368"	751	617	258	211	233	203	260	203	447	258	189	-	-	-	-
03	桃園縣	031311	私立復旦高中附設國中部	36	12	12	12	"1,645"	851	794	292	270	289	255	270	269	501	310	191	-	-	-	-
03	桃園縣	031312	私立治平高中附設國中部	24	8	8	8	"1,007"	572	435	202	145	183	147	187	143	326	199	127	-	-	-	-
03	桃園縣	031313	私立振聲高中附設國中部	27	9	9	9	"1,245"	653	592	226	206	226	179	201	207	419	216	203	-	-	-	-
03	桃園縣	031319	私立清華高中附設國中部	4	1	2	1	114	72	42	25	10	23	22	24	10	21	16	5	-	-	-	-
03	桃園縣	031320	私立新興高中附設國中部	18	6	6	6	747	417	330	146	105	145	108	126	117	226	131	95	-	-	-	-
03	桃園縣	031326	私立大華高中附設國中部	18	6	6	6	761	463	298	166	104	143	112	154	82	234	127	107	-	-	-	-
03	桃園縣	031502	私立有得國中(小)	4	2	2	-	108	63	45	37	22	26	23	-	-	-	-	-	7	4	-	-
03	桃園縣	034332	縣立觀音高中附設國中部	27	10	10	7	815	410	405	146	153	140	146	124	106	251	108	143	-	-	-	-
03	桃園縣	034347	縣立永豐高中附設國中部	39	13	13	13	"1,367"	725	642	223	228	255	220	247	194	477	258	219	-	-	-	-
03	桃園縣	034501	縣立桃園國中	95	30	33	32	"2,772"	"1,455"	"1,317"	447	412	510	453	498	452	"1,058"	549	509	59	152	2	15
03	桃園縣	034502	縣立青溪國中	58	21	20	17	"1,753"	922	831	311	291	322	277	289	263	660	352	308	41	85	1	12
03	桃園縣	034503	縣立文昌國中	44	16	16	12	"1,287"	641	646	216	254	243	190	182	202	502	274	228	32	76	4	8
03	桃園縣	034504	縣立建國國中	75	25	25	25	"2,544"	"1,352"	"1,192"	429	409	477	375	446	408	875	479	396	55	116	3	11
03	桃園縣	034505	縣立中興國中	89	31	31	27	"2,730"	"1,348"	"1,382"	446	457	468	480	434	445	906	460	446	60	137	1	14
03	桃園縣	034506	縣立南崁國中	72	26	25	21	"2,104"	"1,096"	"1,008"	389	342	353	373	354	293	656	322	334	56	103	2	11
03	桃園縣	034507	縣立山腳國中	24	8	9	7	709	353	356	125	99	131	130	97	127	219	126	93	23	32	2	7
03	桃園縣	034508	縣立大竹國中	43	15	15	13	"1,319"	670	649	216	230	250	213	204	206	385	186	199	27	68	2	10
03	桃園縣	034509	縣立大園國中	68	23	24	21	"2,063"	"1,082"	981	356	321	375	352	351	308	765	396	369	50	99	2	12
03	桃園縣	034510	縣立竹圍國中	21	7	7	7	667	354	313	113	106	121	110	120	97	197	112	85	23	25	3	6
03	桃園縣	034511	縣立大溪國中	47	15	16	16	"1,388"	685	703	206	211	220	242	259	250	523	281	242	36	68	3	9
03	桃園縣	034513	縣立仁和國中	72	25	24	23	"2,233"	"1,182"	"1,051"	397	366	399	335	386	350	726	380	346	53	109	5	7
03	桃園縣	034515	縣立大崗國中	38	13	13	12	"1,053"	530	523	184	166	193	170	153	187	308	152	156	28	57	1	9
03	桃園縣	034516	縣立八德國中	44	16	14	14	"1,261"	676	585	222	187	219	201	235	197	495	261	234	36	68	-	8
03	桃園縣	034517	縣立大成國中	72	23	24	25	"2,308"	"1,163"	"1,145"	370	411	379	391	414	343	673	330	343	51	109	3	9
03	桃園縣	034518	縣立中壢國中	50	18	16	16	"1,458"	771	687	276	239	276	214	219	234	474	221	253	27	91	1	10
03	桃園縣	034520	縣立平南國中	54	19	18	17	"1,630"	887	743	301	233	293	267	293	243	521	260	261	25	98	2	9
03	桃園縣	034521	縣立新明國中	30	10	10	10	931	487	444	170	153	165	159	152	132	292	165	127	20	53	1	9
03	桃園縣	034522	縣立內壢國中	83	28	27	28	"2,826"	"1,522"	"1,304"	507	426	501	452	514	426	965	502	463	54	129	5	9
03	桃園縣	034523	縣立大崙國中	30	10	10	10	876	452	424	147	140	147	139	158	145	322	163	159	22	46	2	8
03	桃園縣	034524	縣立龍岡國中	54	19	18	17	"1,707"	890	817	285	285	301	275	304	257	550	256	294	31	86	5	7
03	桃園縣	034525	縣立興南國中	26	8	9	9	650	347	303	114	96	112	110	121	97	188	91	97	18	53	3	6
03	桃園縣	034526	縣立自強國中	69	24	24	21	"2,037"	"1,051"	986	369	349	373	323	309	314	704	340	364	40	117	3	9
03	桃園縣	034527	縣立東興國中	84	28	28	28	"2,759"	"1,411"	"1,348"	452	494	486	440	473	414	878	432	446	44	138	1	14
03	桃園縣	034528	縣立楊梅國中	64	22	21	21	"1,724"	864	860	281	287	328	252	255	321	622	325	297	38	122	3	12
03	桃園縣	034529	縣立仁美國中	18	6	6	6	376	211	165	75	59	68	51	68	55	125	66	59	13	31	5	4
03	桃園縣	034530	縣立富岡國中	12	4	4	4	308	167	141	66	42	52	47	49	52	100	53	47	9	21	-	5
03	桃園縣	034531	縣立瑞原國中	16	5	6	5	341	186	155	54	47	70	66	62	42	112	63	49	13	25	-	8
03	桃園縣	034533	縣立觀音國中	15	5	4	6	367	208	159	70	55	61	55	77	49	122	71	51	20	18	1	4
03	桃園縣	034534	縣立草漯國中	23	8	8	7	682	343	339	108	114	120	119	115	106	230	119	111	19	33	4	4
03	桃園縣	034535	縣立新屋國中	41	14	14	13	"1,185"	590	595	210	187	186	208	194	200	384	205	179	31	65	2	10
03	桃園縣	034536	縣立大坡國中	9	3	3	3	209	114	95	41	30	44	32	29	33	71	38	33	9	16	-	4
03	桃園縣	034537	縣立永安國中	9	3	3	3	249	119	130	42	41	35	46	42	43	85	40	45	9	16	2	3
03	桃園縣	034538	縣立龍潭國中	44	15	15	14	"1,300"	657	643	237	202	209	227	211	214	404	195	209	29	68	2	9
03	桃園縣	034539	縣立凌雲國中	39	13	13	13	"1,076"	563	513	171	168	185	172	207	173	392	214	178	29	64	2	9
03	桃園縣	034540	縣立石門國中	32	10	12	10	956	490	466	160	127	178	184	152	155	393	214	179	18	54	2	7
03	桃園縣	034541	縣立介壽國中	10	3	3	4	228	121	107	39	37	40	22	42	48	83	39	44	12	14	2	3
03	桃園縣	034542	縣立慈文國中	74	26	25	23	"2,158"	"1,118"	"1,040"	386	359	408	381	324	300	669	362	307	56	103	4	9
03	桃園縣	034543	縣立平興國中	73	24	25	24	"2,231"	"1,166"	"1,065"	370	342	405	367	391	356	780	387	393	44	114	4	9
03	桃園縣	034544	縣立楊明國中	30	10	11	9	900	456	444	154	133	175	165	127	146	311	167	144	26	43	1	9
03	桃園縣	034545	縣立龍興國中	35	12	12	11	"1,012"	529	483	183	154	166	185	180	144	345	168	177	23	56	4	7
03	桃園縣	034546	縣立福豐國中	54	18	19	17	"1,606"	843	763	269	231	316	270	258	262	532	276	256	29	95	2	9
03	桃園縣	034549	縣立東安國中	25	10	8	7	708	388	320	117	128	139	104	132	88	257	127	130	21	37	1	8
03	桃園縣	034550	縣立光明國中	68	23	23	22	"2,118"	"1,097"	"1,021"	363	366	361	350	373	305	654	329	325	44	110	2	10
03	桃園縣	034551	縣立同德國中	57	19	19	19	"2,036"	"1,046"	990	366	315	358	343	322	332	683	354	329	25	91	3	9
03	桃園縣	034552	縣立幸福國中	22	8	7	7	606	315	291	113	94	104	108	98	89	193	105	88	15	36	2	6
03	桃園縣	034554	縣立大有國中	52	17	18	17	"1,587"	830	757	267	241	300	269	263	247	540	252	288	35	79	4	9
03	桃園縣	034555	縣立龜山國中	53	18	18	17	"1,693"	894	799	301	261	284	293	309	245	588	258	330	34	83	2	10
03	桃園縣	034556	縣立會稽國中	28	10	10	8	794	417	377	136	131	148	137	133	109	264	132	132	19	45	1	8
03	桃園縣	034557	縣立楊光國中(小)	21	7	7	7	663	344	319	98	116	115	107	131	96	215	115	100	12	37	1	2
03	桃園縣	034559	縣立迴龍國中(小)	11	3	4	4	260	150	110	39	30	53	40	58	40	91	47	44	8	21	4	3
03	桃園縣	034560	縣立平鎮國中	72	24	25	23	"2,161"	"1,086"	"1,075"	354	311	383	397	349	367	808	420	388	41	119	1	12
03	桃園縣	034561	縣立武漢國中	29	10	10	9	848	475	373	159	117	165	129	151	127	265	120	145	16	50	2	7
03	桃園縣	034562	縣立經國國中	23	7	8	8	677	363	314	103	103	121	100	139	111	236	118	118	16	37	1	7
03	桃園縣	034563	縣立過嶺國中	32	11	10	11	"1,070"	566	504	204	167	167	160	195	177	370	193	177	27	45	2	8
03	桃園縣	034564	縣立瑞坪國中	36	13	12	11	"1,047"	581	466	206	161	183	159	192	146	386	206	180	24	57	2	8
04	新竹縣	041303	私立義民高中附設國中部	21	7	7	7	929	512	417	168	146	182	129	162	142	303	164	139	-	-	-	-
04	新竹縣	041305	私立忠信高中附設國中部	15	6	5	4	564	321	243	132	104	94	78	95	61	134	61	73	-	-	-	-
04	新竹縣	041306	私立東泰中學附設國中部	6	2	2	2	159	96	63	36	22	32	21	28	20	30	26	4	-	-	-	-
04	新竹縣	041307	私立仰德高中附設國中部	10	4	3	3	348	218	130	79	57	77	43	62	30	105	64	41	-	-	-	-
04	新竹縣	041501	私立康乃薾國中(小)	6	2	2	2	185	84	101	31	41	27	29	26	31	50	25	25	13	12	2	5
04	新竹縣	044320	縣立湖口高中附設國中部	51	18	17	16	"1,505"	754	751	238	260	279	238	237	253	474	234	240	-	-	-	-
04	新竹縣	044501	縣立竹東國中	51	17	18	16	"1,448"	727	721	247	224	245	276	235	221	501	267	234	26	95	2	11
04	新竹縣	044502	縣立二重國中	26	10	8	8	754	387	367	149	127	122	114	116	126	268	148	120	16	47	1	9
04	新竹縣	044503	縣立員東國中	10	4	3	3	214	105	109	35	39	37	36	33	34	60	34	26	6	16	-	4
04	新竹縣	044504	縣立關西國中	23	8	8	7	610	350	260	124	80	113	85	113	95	216	112	104	18	37	2	6
04	新竹縣	044505	縣立石光國中	8	3	2	3	137	79	58	33	17	19	23	27	18	47	24	23	7	12	1	3
04	新竹縣	044506	縣立富光國中	12	5	3	4	258	130	128	56	48	37	40	37	40	75	38	37	8	24	-	5
04	新竹縣	044507	縣立新埔國中	23	7	8	8	662	336	326	103	95	119	124	114	107	262	129	133	16	40	2	7
04	新竹縣	044508	縣立照門國中	8	2	3	3	173	98	75	32	18	38	27	28	30	48	25	23	8	13	1	2
04	新竹縣	044509	縣立竹北國中	58	21	19	18	"1,642"	870	772	300	266	274	258	296	248	534	274	260	32	104	4	10
04	新竹縣	044510	縣立鳳岡國中	10	3	4	3	250	119	131	32	38	49	51	38	42	81	37	44	6	17	-	3
04	新竹縣	044511	縣立六家國中	11	4	4	3	256	123	133	47	45	37	52	39	36	41	21	20	4	21	-	4
04	新竹縣	044512	縣立芎林國中	19	6	6	7	479	237	242	76	91	86	72	75	79	150	73	77	11	35	1	7
04	新竹縣	044513	縣立新豐國中	32	11	11	10	829	439	390	138	141	162	127	139	122	326	181	145	21	55	1	9
04	新竹縣	044514	縣立精華國中	5	1	2	2	117	65	52	12	8	21	21	32	23	47	22	25	4	9	1	3
04	新竹縣	044515	縣立橫山國中	9	3	3	3	222	119	103	40	34	40	36	39	33	94	56	38	9	12	-	4
04	新竹縣	044516	縣立華山國中	6	2	2	2	124	67	57	21	20	23	17	23	20	38	22	16	6	9	1	3
04	新竹縣	044517	縣立寶山國中	15	5	5	5	340	159	181	41	55	59	68	59	58	118	74	44	7	33	-	5
